1,vuvarov,Разное,Деньги которые были на момент начала учета,1410.00,2013-02-06 00:00:00,инициализация,2013-02-06 00:00:00,"",INCOME,Наличные,,false,2018-07-29 10:56:17,"",,1410.00
2,vuvarov,Зарплата,(264 рубля были на карте),36264.00,2013-02-06 00:00:00,Зарплата,2013-02-06 00:00:00,"",INCOME,Наличные,,false,2013-02-06 00:00:00,,,36264.00
3,vuvarov,Кредит,За февраль.,2500.00,2013-02-07 00:00:00,Кредит банк,2013-02-07 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-07 00:00:00,,,2500.00
5,vuvarov,Продукты,,900.00,2013-02-07 00:00:00,"",2013-02-07 00:00:00,Третий,CONSUMPTION,Наличные,,false,2013-02-07 00:00:00,,,900.00
6,vuvarov,В дом,,150.00,2013-02-07 00:00:00,Памперсы,2013-02-07 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-07 00:00:00,,,150.00
7,vuvarov,Здоровье,Фенистил,210.00,2013-02-07 00:00:00,Фенистил,2013-02-07 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-07 00:00:00,,,210.00
8,vuvarov,Связь,Вове,100.00,2013-02-09 00:00:00,Телефон,2013-02-09 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-09 00:00:00,,,100.00
9,vuvarov,Продукты,"Мороженное, молоко, масло",200.00,2013-02-09 00:00:00,"Мороженное, молоко, масло",2013-02-09 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-09 00:00:00,,,200.00
10,vuvarov,Отдых,Маленькая италия,950.00,2013-02-10 00:00:00,"",2013-02-10 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-10 00:00:00,,,950.00
11,vuvarov,Подарки,"Вова 23 февраля, 1000 саша из своих денег",400.00,2013-02-10 00:00:00,Геймпад xbox360,2013-02-10 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-10 00:00:00,,,400.00
12,vuvarov,В дом,,270.00,2013-02-10 00:00:00,Горшок для архидеи,2013-02-10 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-10 00:00:00,,,270.00
13,vuvarov,В дом,,500.00,2013-02-10 00:00:00,Памперсы,2013-02-10 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-10 00:00:00,,,500.00
14,vuvarov,Продукты,Продукты,1480.00,2013-02-10 00:00:00,"",2013-02-10 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-10 00:00:00,,,1480.00
15,vuvarov,В дом,и т.д.,750.00,2013-02-10 00:00:00,"Паста, бумага, мыло, фейри, кондиционер",2013-02-10 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-10 00:00:00,,,750.00
16,vuvarov,Продукты,Обед,130.00,2013-02-11 00:00:00,Обед,2013-02-11 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-11 00:00:00,,,130.00
17,vuvarov,Автомобиль,Заправка,1000.00,2013-02-12 00:00:00,"Бензин, ",2013-02-12 00:00:00,"",CONSUMPTION,Наличные,,false,2015-03-08 01:31:34,,,1000.00
18,vuvarov,Связь,Саша,150.00,2013-02-13 00:00:00,Телефон,2013-02-13 00:00:00,"",CONSUMPTION,Наличные,,false,2015-03-08 01:31:52,,,150.00
19,vuvarov,Продукты,"",470.00,2013-02-13 00:00:00,"",2013-02-13 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-13 00:00:00,,,470.00
20,vuvarov,Одежда,Колготки ,310.00,2013-02-13 00:00:00,Колготки ,2013-02-13 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-13 00:00:00,,,310.00
21,vuvarov,Отдых,,620.00,2013-02-14 00:00:00,"Кино,попкорн, чай",2013-02-14 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-14 00:00:00,,,620.00
22,vuvarov,Продукты,"Мандарины, грибы, фарш, пельмени, сметана, молоко",600.00,2013-02-16 00:00:00,"Мандарины, грибы, фарш, пельмени, сметана, молоко",2013-02-16 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-16 00:00:00,,,600.00
23,vuvarov,Здоровье,"",60.00,2013-02-15 00:00:00,"",2013-02-15 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-15 00:00:00,,,60.00
24,vuvarov,Продукты,"",250.00,2013-02-16 00:00:00,"",2013-02-16 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-16 00:00:00,,,250.00
25,vuvarov,Продукты,"",200.00,2013-02-17 00:00:00,"",2013-02-17 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-17 00:00:00,,,200.00
26,vuvarov,Автомобиль,Заправка,500.00,2013-02-18 00:00:00,Заправка,2013-02-18 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-18 00:00:00,,,500.00
28,vuvarov,Продукты,Обед,70.00,2013-02-19 00:00:00,Обед,2013-02-19 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-19 00:00:00,,,70.00
29,vuvarov,Продукты,"мандарины,яблоки, огурцы, грибы",300.00,2013-02-20 00:00:00,"мандарины,яблоки, огурцы, грибы",2013-02-20 00:00:00,"",CONSUMPTION,Наличные,,false,2013-02-20 00:00:00,,,300.00
